Year,113 Cause Name,Cause Name,State,Deaths,Age-adjusted Death Rate
2017,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Unintentional injuries,United States,169936,49.4
2017,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Unintentional injuries,Alabama,2703,53.8
2017,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Unintentional injuries,Alaska,436,63.7
2017,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Unintentional injuries,Arizona,4184,56.2
2017,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Unintentional injuries,Arkansas,1625,51.8
2017,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Unintentional injuries,California,13840,33.2
2017,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Unintentional injuries,Colorado,3037,53.6
2017,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Unintentional injuries,Connecticut,2078,53.2
2017,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Unintentional injuries,Delaware,608,61.9
2017,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Unintentional injuries,District of Columbia,427,61.0
2017,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Unintentional injuries,Florida,13059,56.1
2017,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Unintentional injuries,Georgia,4712,45.2
2017,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Unintentional injuries,Hawaii,585,35.7
2017,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Unintentional injuries,Idaho,876,49.8
2017,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Unintentional injuries,Illinois,6019,44.4
2017,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Unintentional injuries,Indiana,3978,58.7
2017,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Unintentional injuries,Iowa,1536,42.8
2017,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Unintentional injuries,Kansas,1567,49.4
2017,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Unintentional injuries,Kentucky,3264,72.9
2017,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Unintentional injuries,Louisiana,2780,58.9
2017,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Unintentional injuries,Maine,990,68.0
2017,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Unintentional injuries,Maryland,2408,36.9
2017,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Unintentional injuries,Massachusetts,3821,51.5
2017,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Unintentional injuries,Michigan,5623,53.0
2017,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Unintentional injuries,Minnesota,2788,44.6
2017,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Unintentional injuries,Mississippi,1738,56.3
2017,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Unintentional injuries,Missouri,3776,58.8
2017,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Unintentional injuries,Montana,579,50.2
2017,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Unintentional injuries,Nebraska,811,38.5
2017,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Unintentional injuries,Nevada,1496,47.8
2017,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Unintentional injuries,New Hampshire,907,62.9
2017,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Unintentional injuries,New Jersey,4482,47.3
2017,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Unintentional injuries,New Mexico,1460,68.3
2017,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Unintentional injuries,New York,7687,35.5
2017,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Unintentional injuries,North Carolina,5985,56.3
2017,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Unintentional injuries,North Dakota,339,41.3
2017,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Unintentional injuries,Ohio,8971,75.1
2017,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Unintentional injuries,Oklahoma,2563,62.5
2017,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Unintentional injuries,Oregon,2076,44.8
2017,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Unintentional injuries,Pennsylvania,9527,70.2
2017,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Unintentional injuries,Rhode Island,718,60.0
2017,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Unintentional injuries,South Carolina,3147,60.2
2017,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Unintentional injuries,South Dakota,537,56.1
2017,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Unintentional injuries,Tennessee,4435,63.0
2017,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Unintentional injuries,Texas,10763,38.8
2017,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Unintentional injuries,Utah,1238,44.2
2017,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Unintentional injuries,Vermont,394,56.9
2017,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Unintentional injuries,Virginia,3922,44.0
2017,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Unintentional injuries,Washington,3455,44.0
2017,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Unintentional injuries,West Virginia,1892,100.3
2017,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Unintentional injuries,Wisconsin,3746,58.3
2017,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Unintentional injuries,Wyoming,348,56.9
2017,Alzheimer's disease (G30),Alzheimer's disease,United States,121404,31.0
2017,Alzheimer's disease (G30),Alzheimer's disease,Alabama,2563,45.2
2017,Alzheimer's disease (G30),Alzheimer's disease,Alaska,98,22.1
2017,Alzheimer's disease (G30),Alzheimer's disease,Arizona,3058,35.1
2017,Alzheimer's disease (G30),Alzheimer's disease,Arkansas,1436,39.4
2017,Alzheimer's disease (G30),Alzheimer's disease,California,16238,37.1
2017,Alzheimer's disease (G30),Alzheimer's disease,Colorado,1830,34.2
2017,Alzheimer's disease (G30),Alzheimer's disease,Connecticut,1077,20.4
2017,Alzheimer's disease (G30),Alzheimer's disease,Delaware,377,30.6
2017,Alzheimer's disease (G30),Alzheimer's disease,District of Columbia,125,17.6
2017,Alzheimer's disease (G30),Alzheimer's disease,Florida,6980,20.7
2017,Alzheimer's disease (G30),Alzheimer's disease,Georgia,4290,46.0
2017,Alzheimer's disease (G30),Alzheimer's disease,Hawaii,465,19.7
2017,Alzheimer's disease (G30),Alzheimer's disease,Idaho,672,36.6
2017,Alzheimer's disease (G30),Alzheimer's disease,Illinois,4021,25.6
2017,Alzheimer's disease (G30),Alzheimer's disease,Indiana,2771,35.3
2017,Alzheimer's disease (G30),Alzheimer's disease,Iowa,1597,35.3
2017,Alzheimer's disease (G30),Alzheimer's disease,Kansas,894,24.3
2017,Alzheimer's disease (G30),Alzheimer's disease,Kentucky,1765,35.0
2017,Alzheimer's disease (G30),Alzheimer's disease,Louisiana,2188,43.7
2017,Alzheimer's disease (G30),Alzheimer's disease,Maine,601,30.4
2017,Alzheimer's disease (G30),Alzheimer's disease,Maryland,1191,17.1
2017,Alzheimer's disease (G30),Alzheimer's disease,Massachusetts,1841,19.9
2017,Alzheimer's disease (G30),Alzheimer's disease,Michigan,4428,34.5
2017,Alzheimer's disease (G30),Alzheimer's disease,Minnesota,2474,34.9
2017,Alzheimer's disease (G30),Alzheimer's disease,Mississippi,1626,49.6
2017,Alzheimer's disease (G30),Alzheimer's disease,Missouri,2545,32.3
2017,Alzheimer's disease (G30),Alzheimer's disease,Montana,285,20.9
2017,Alzheimer's disease (G30),Alzheimer's disease,Nebraska,698,28.5
2017,Alzheimer's disease (G30),Alzheimer's disease,Nevada,779,27.3
2017,Alzheimer's disease (G30),Alzheimer's disease,New Hampshire,436,24.8
2017,Alzheimer's disease (G30),Alzheimer's disease,New Jersey,2829,23.6
2017,Alzheimer's disease (G30),Alzheimer's disease,New Mexico,572,22.7
2017,Alzheimer's disease (G30),Alzheimer's disease,New York,3521,13.2
2017,Alzheimer's disease (G30),Alzheimer's disease,North Carolina,4289,37.3
2017,Alzheimer's disease (G30),Alzheimer's disease,North Dakota,387,36.5
2017,Alzheimer's disease (G30),Alzheimer's disease,Ohio,5117,33.6
2017,Alzheimer's disease (G30),Alzheimer's disease,Oklahoma,1752,39.4
2017,Alzheimer's disease (G30),Alzheimer's disease,Oregon,1850,36.0
2017,Alzheimer's disease (G30),Alzheimer's disease,Pennsylvania,4213,21.7
2017,Alzheimer's disease (G30),Alzheimer's disease,Rhode Island,435,27.3
2017,Alzheimer's disease (G30),Alzheimer's disease,South Carolina,2549,45.0
2017,Alzheimer's disease (G30),Alzheimer's disease,South Dakota,444,36.9
2017,Alzheimer's disease (G30),Alzheimer's disease,Tennessee,3522,46.7
2017,Alzheimer's disease (G30),Alzheimer's disease,Texas,9545,38.5
2017,Alzheimer's disease (G30),Alzheimer's disease,Utah,991,42.1
2017,Alzheimer's disease (G30),Alzheimer's disease,Vermont,370,42.9
2017,Alzheimer's disease (G30),Alzheimer's disease,Virginia,2549,27.6
2017,Alzheimer's disease (G30),Alzheimer's disease,Washington,3710,46.0
2017,Alzheimer's disease (G30),Alzheimer's disease,West Virginia,770,30.6
2017,Alzheimer's disease (G30),Alzheimer's disease,Wisconsin,2428,31.6
2017,Alzheimer's disease (G30),Alzheimer's disease,Wyoming,212,32.7
2017,Cerebrovascular diseases (I60-I69),Stroke,United States,146383,37.6
2017,Cerebrovascular diseases (I60-I69),Stroke,Alabama,2931,50.0
2017,Cerebrovascular diseases (I60-I69),Stroke,Alaska,190,35.1
2017,Cerebrovascular diseases (I60-I69),Stroke,Arizona,2681,30.8
2017,Cerebrovascular diseases (I60-I69),Stroke,Arkansas,1612,43.8
2017,Cerebrovascular diseases (I60-I69),Stroke,California,16355,37.6
2017,Cerebrovascular diseases (I60-I69),Stroke,Colorado,1988,35.8
2017,Cerebrovascular diseases (I60-I69),Stroke,Connecticut,1403,27.8
2017,Cerebrovascular diseases (I60-I69),Stroke,Delaware,571,46.2
2017,Cerebrovascular diseases (I60-I69),Stroke,District of Columbia,246,35.9
2017,Cerebrovascular diseases (I60-I69),Stroke,Florida,12602,38.9
2017,Cerebrovascular diseases (I60-I69),Stroke,Georgia,4399,43.5
2017,Cerebrovascular diseases (I60-I69),Stroke,Hawaii,764,37.5
2017,Cerebrovascular diseases (I60-I69),Stroke,Idaho,726,38.5
2017,Cerebrovascular diseases (I60-I69),Stroke,Illinois,6020,38.9
2017,Cerebrovascular diseases (I60-I69),Stroke,Indiana,3150,40.2
2017,Cerebrovascular diseases (I60-I69),Stroke,Iowa,1416,32.8
2017,Cerebrovascular diseases (I60-I69),Stroke,Kansas,1355,37.7
2017,Cerebrovascular diseases (I60-I69),Stroke,Kentucky,2050,39.4
2017,Cerebrovascular diseases (I60-I69),Stroke,Louisiana,2460,47.4
2017,Cerebrovascular diseases (I60-I69),Stroke,Maine,736,37.5
2017,Cerebrovascular diseases (I60-I69),Stroke,Maryland,2820,40.2
2017,Cerebrovascular diseases (I60-I69),Stroke,Massachusetts,2367,26.5
2017,Cerebrovascular diseases (I60-I69),Stroke,Michigan,5002,39.3
2017,Cerebrovascular diseases (I60-I69),Stroke,Minnesota,2250,32.6
2017,Cerebrovascular diseases (I60-I69),Stroke,Mississippi,1723,51.1
2017,Cerebrovascular diseases (I60-I69),Stroke,Missouri,3159,41.0
2017,Cerebrovascular diseases (I60-I69),Stroke,Montana,487,35.6
2017,Cerebrovascular diseases (I60-I69),Stroke,Nebraska,760,31.5
2017,Cerebrovascular diseases (I60-I69),Stroke,Nevada,1137,35.9
2017,Cerebrovascular diseases (I60-I69),Stroke,New Hampshire,514,28.9
2017,Cerebrovascular diseases (I60-I69),Stroke,New Jersey,3474,30.2
2017,Cerebrovascular diseases (I60-I69),Stroke,New Mexico,878,34.8
2017,Cerebrovascular diseases (I60-I69),Stroke,New York,6264,24.6
2017,Cerebrovascular diseases (I60-I69),Stroke,North Carolina,5098,43.0
2017,Cerebrovascular diseases (I60-I69),Stroke,North Dakota,337,35.4
2017,Cerebrovascular diseases (I60-I69),Stroke,Ohio,6425,42.8
